"plot_id";"plot_name";"survey_year";"survey_month";"precip";"location";"conductivity";"ph";"alk";"nh4_n";"no3_n";"so4_s";"po4_p";"ca";"mg";"k";"na";"cl";"t_p";"t_s";"t_n";"toc"
"ALP";"Alptal";1996;6;185.9007142857143;"B";14.726913175619858;5.368545791282462;0;0.7515732668359839;0.6180478058564287;0.5408005041093364;0.16315000000000002;0.3393353979274651;0.037777653970437364;0.6673843180499575;0.0873521580259816;0.18231609807078278;0.020591367896073555;NA;1.6795159889495543;NA
"ALP";"Alptal";1996;7;279.0185714285714;"B";11.042173997634567;5.206152325554273;0;0.4040863639389083;0.3707171565640792;0.40097028871606083;0.16315000000000002;0.24133160619108812;0.029676416828372923;0.4278209335784101;0.09705954032757676;0.1698334468263761;0.01152785528869046;NA;1.1040595075596606;NA
"ALP";"Alptal";1996;8;265.9371428571429;"B";8.404454650937923;5.367014634098641;0;0.3471417520789016;0.2799550377103075;0.29308209243859984;0.16314999999999996;0.16777025720363564;0.026339199381164184;0.6162454070779346;0.0857556565461226;0.13955134403403596;0.015266872945271707;NA;0.8639483755559852;NA
"ALP";"Alptal";1996;9;181.23357142857142;"B";12.86682572213442;5.022168159303591;0;0.353861788457673;0.43810989764589503;0.37648598690718765;0.16315;0.3016695109310401;0.06141281771352675;1.0009644618034346;0.28312785001202084;0.45119218687802254;0.018743097896558113;NA;1.1293335309210295;NA
"ALP";"Alptal";1996;10;247.13357142857143;"B";10.361233081011715;4.999758187534738;0;0.13546719963466838;0.2730506348504423;0.2595780766329371;0.16315000000000002;0.22765225283030865;0.07072835106521344;0.8968196781960015;0.20175185772875856;0.30539320841534506;0.013187345189270117;NA;0.627302449513999;NA
"ALP";"Alptal";1996;11;205.84857142857143;"B";8.835641039876746;5.225701506681786;0;0.1305768456701875;0.24050564215026296;0.15792649242855358;0.16314999999999996;0.06537635154829485;0.01493316862603578;0.19183074937193775;0.16885949449664803;0.17845850625286272;0.009999999999999998;NA;0.6370842491706804;NA
"ALP";"Alptal";1996;12;120.95142857142858;"B";8.22514067039898;4.742511890419135;0;0.090301892140883;0.21226419105662248;0.14293388136914462;0.16315;0.043779321097016516;0.015475869888739282;0.01341294025937212;0.23704981928991561;0.2452370491106229;0.009999999999999998;NA;0.39397531712848133;NA
"ALP";"Alptal";1997;1;22.428571428571427;"B";8.93108280254777;4.724579665379407;0;0.19103439490445862;0.23794777070063697;0.19560000000000002;0.16315;0.1382547770700637;0.01;0.05682802547770701;0.13151592356687897;0.11701783439490446;0.01;NA;0.5451968662420382;NA
"ALP";"Alptal";1997;2;111.45714285714287;"B";8.25990207639067;4.944638020581884;0;0.23054832094334785;0.2152091771340682;0.19462394257882595;0.16315000000000002;0.19761676493206867;0.0434988464496283;0.20300128172263524;0.41834888490130734;0.5001627787746732;0.016745193540117918;NA;0.5736733427326326;NA
"ALP";"Alptal";1997;3;115.65571428571428;"B";15.439969490729874;4.84228412560265;0;0.8020139823861461;0.58362170975432;0.4812409985301202;0.16315000000000002;0.21352499413283266;0.04165837028619425;0.08601193196556281;0.37585802690250625;0.4522313763756964;0.01466310107585321;NA;1.4764452772390964;NA
"ALP";"Alptal";1997;4;224.61357142857145;"B";13.89059314568831;4.760038374097711;0;0.6319554218514972;0.5480547543558937;0.4657631360527128;0.16314999999999996;0.2520504739886598;0.03799716338218973;0.2757957317170124;0.25072788503429694;0.33494570039337396;0.04580632133282876;NA;1.4031840452968432;NA
"ALP";"Alptal";1997;5;143.95192307692307;"B";10.37833258967337;5.090157702486776;0;0.42887649455614185;0.41792850177008883;0.3997298510453544;0.16315;0.2716111949769555;0.03740386079754191;0.4152951973816045;0.1690745040411462;0.14980960523679115;0.03465107207267384;NA;0.9656953061251753;NA
"ALP";"Alptal";1997;6;295.7645054945055;"B";8.105450642533022;5.077899629978772;0;0.3101004660301094;0.29225986891115113;0.2847506202031093;0.16314999999999996;0.17438532363697434;0.02667766566584567;0.42960170643632795;0.1814627579039903;0.10757471882329905;0.012558220324530543;NA;0.7667329074549586;NA
