"plot_id";"plot_name";"survey_year";"survey_date";"leaf_type";"sample_id";"species";"leaf_age_class";"gew100"
"ALP";"Alptal";1995;"1995-10-26";1;"9950";"Picea abies";1;0.31
"ALP";"Alptal";1995;"1995-10-26";1;"9951";"Picea abies";1;0.27
"ALP";"Alptal";1995;"1995-10-26";1;"9952";"Picea abies";1;0.5
"ALP";"Alptal";1995;"1995-10-26";1;"9953";"Picea abies";1;0.28
"ALP";"Alptal";1995;"1995-10-26";1;"9954";"Picea abies";1;0.43
"ALP";"Alptal";1995;"1995-10-26";1;"9955";"Picea abies";1;0.43
"ALP";"Alptal";1995;"1995-10-26";1;"9950";"Picea abies";2;0.38
"ALP";"Alptal";1995;"1995-10-26";1;"9951";"Picea abies";2;0.48
"ALP";"Alptal";1995;"1995-10-26";1;"9952";"Picea abies";2;0.64
"ALP";"Alptal";1995;"1995-10-26";1;"9953";"Picea abies";2;0.44
"ALP";"Alptal";1995;"1995-10-26";1;"9954";"Picea abies";2;0.57
"ALP";"Alptal";1995;"1995-10-26";1;"9955";"Picea abies";2;0.67
"ALP";"Alptal";1997;"1997-10-20";1;"9951";"Picea abies";1;0.44
"ALP";"Alptal";1997;"1997-10-20";1;"9952";"Picea abies";1;0.59
"ALP";"Alptal";1997;"1997-10-20";1;"9953";"Picea abies";1;0.34
"ALP";"Alptal";1997;"1997-10-20";1;"9954";"Picea abies";1;0.56
"ALP";"Alptal";1997;"1997-10-20";1;"9955";"Picea abies";1;0.46
"ALP";"Alptal";1997;"1997-10-20";1;"9952";"Picea abies";2;0.69
"ALP";"Alptal";1997;"1997-10-20";1;"9953";"Picea abies";2;0.5
"ALP";"Alptal";1997;"1997-10-20";1;"9954";"Picea abies";2;0.62
"ALP";"Alptal";1997;"1997-10-20";1;"9955";"Picea abies";2;0.48
"ALP";"Alptal";1997;"1997-10-20";1;"9951";"Picea abies";2;0.5
"ALP";"Alptal";1999;"1999-09-30";1;"9951";"Picea abies";1;0.65
"ALP";"Alptal";1999;"1999-09-30";1;"9952";"Picea abies";1;0.5
"ALP";"Alptal";1999;"1999-09-30";1;"9953";"Picea abies";1;0.4
"ALP";"Alptal";1999;"1999-09-30";1;"9954";"Picea abies";1;0.58
"ALP";"Alptal";1999;"1999-09-30";1;"9955";"Picea abies";1;0.35
"ALP";"Alptal";1999;"1999-09-30";1;"9951";"Picea abies";2;0.55
"ALP";"Alptal";1999;"1999-09-30";1;"9952";"Picea abies";2;0.53
"ALP";"Alptal";1999;"1999-09-30";1;"9953";"Picea abies";2;0.48
